Amount paid to date,Case number,Proposed penalty,Standard violated,citation number,link to standard
162.00,000374480,162.00,56.18010,8778047,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-18010.pdf
100.00,000374480,100.00,56.14132(a),8778046,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf
243.00,000345454,243.00,56.9300(a),8771783,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-9300.pdf
100.00,000345454,100.00,50.30(a),8771784,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec50-30.pdf
243.00,000345454,243.00,56.9300(a),8771782,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-9300.pdf
100.00,000348280,100.00,56.14100(b),8771781,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf
100.00,000316329,100.00,50.30(a),8688404,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec50-30.pdf
100.00,000316329,100.00,56.12028,8681996,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-12028.pdf
100.00,000316329,100.00,56.9300(a),8681998,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-9300.pdf
100.00,000316329,100.00,47.31(a),8681997,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec47-31.pdf
162.00,000316329,162.00,56.14132(a),8681995,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14132.pdf
112.00,000303884,112.00,46.8(a)(2),6315027,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec46-8.pdf
100.00,000246930,100.00,56.18013,6576572,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-18013.pdf
100.00,000246930,100.00,56.9300(b),6576571,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-9300.pdf
100.00,000246930,100.00,56.20002(b),6576573,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-20002.pdf
243.00,000246930,243.00,56.15001,6576574,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-15001.pdf
100.00,000206354,100.00,56.9300(a),6466144,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-9300.pdf
100.00,000206354,100.00,41.12,6466145,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec41-12.pdf
