REC_ID,COMPANY,DISPOSITION_TYPE,PRIMARY_CRIME_CODE,SWISS_BANK_PROGRAM,USAO,COUNTRY,FINANCIAL_INSTITUTION,CASE_NAME,CASE_ID,DOCKET_NO,DATE,JUDGMENT_DATE,PLEA_DATE,TICKER,US_PUBLIC_CO,ADDITIONAL_REGULATORY_FINE_OR_PAYMENT,COMMUNITY_SERVICE_OR_OTHER,FINE,FORFEITURE_DISGORGEMENT,PROBATION_LENGTH,RESTITUTION,TOTAL_PAYMENT,ACCEPTS_RESPONSIBILITY,AGREEMENT_REQUIRED_NEW_POSITIONS,AGREEMENT_REQUIRED_OUTSIDE_AUDITORS_OR_EXPERTS,CITATION_AND_DESCRIPTION,CIVIL_JUDGMENT_OR_SETTLEMENT,COMPLIANCE_PROGRAM_DESCRIPTION,COMPLIANCE_PROGRAM_REQUIRED_BY_AGREEMENT,COMPLIANCE_REQUIRED_BY_REGULATORS,CRIME_DESC,DESCRIPTION_OF_PAYMENTS,DOES_AGREEMENT_DISCUSS_REASONS_OR_RELEVENT_CONSIDERATIONS_FOR_LENIENCY,DOJ_CAN_UNILATERALLY_TERMINATE,FINE_CALCULATION_INCLUDED,FINE_DESCRIPTION,INDEP_MONITOR_REQUIRED,MUST_COMPORT_WITH_USSG_OR_AUDIT_COMPLIANCE,OTHER_AGREEMENT,OTHER_AGREEMENT_REQUIRED_GOVERNANCE_CHANGES,OTHER_COMPLIANCE_OFFICER_OR_CONSULTANT_REQUIRED,PARALLEL_CIVIL_SUIT,PARALLEL_REGULATORY_ACTION_OR_LOCAL_PROSECUTOR,PRE_AGREEMENT_COMPLIANCE,PRE_AGREEMENT_COMPLIANCE_DESCRIPTION,PRIVACY_WAIVER,REGULATORY_DISGORGEMENT_RESTITUTION_FORFEITURE,REGULATORY_FINE,REG_AGENCY,STATEMENT_OF_FACTS,TOTAL_REGULATORY,UNRELATED_TERMS,AGMT_YEAR,SOURCE,NOTES
138,"1st Union Transfer and Telegraph, Inc.",plea,Money Laundering,,Virginia - Eastern District,United States,Yes,USA v. 1st Union Transfer,4:03-cr-00024,8,2003-06-17,2003-06-17,2003-02-28,,No,,,0,272734,12,,272734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,PACER,
139,"3D Poultry Loading, Inc.",plea,Immigration,,Arkansas - Western District,United States,No,USA v. 3D Poultry Loading,2:04-cr-20061,7,2005-01-25,2005-01-25,2004-09-30,,No,,,24000,,36,,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,PACER,
2529,"3rd & Bell, LLC",plea,Immigration,,Arizona,United States,No,USA v. Danny's Management Services LLC et al,2:13-cr-01143,510,2014-11-21,2014-11-21,2014-11-20,,No,0,0,50,0,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,PACER,
822,41 Market Inc.,plea,Controlled substances / Drugs / Meth Act,,Georgia - Northern District,United States,No,USA v. 41 Market Inc.,4:06-cr-00023,11,2006-07-05,2006-07-05,2006-03-16,,No,,,14640,,36,,14640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,PACER,
140,"45,000, Inc.",plea,Environmental,,Louisiana - Middle District,United States,No,USA v. 45000 Inc,3:04-cr-00180,17,2005-06-03,2005-06-03,2004-11-22,,No,,,25000,,0,2500,27500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,PACER,
823,4628 Group Inc.,plea,Environmental,,New York - Northern District,United States,No,USA v. 4628 Group Inc.,5:00-cr-00441,8,2001-07-31,2001-07-31,2000-09-20,,No,0,,500000,0,24,0,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,PACER,
824,"70 North, LLC",plea,Environmental,,Alaska,United States,No,USA v. 70 North LLC,4:13-po-00001,,2013-03-05,2013-03-05,,,No,35,0,2000,0,0,0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,PACER,
825,806 Trading Corp.,plea,Other,,New Jersey,United States,No,USA v. 806 TRADING CORPORATION,2:11-cr-00579,8,2012-03-05,2012-03-05,2011-09-06,,No,0,0,42000,0,0,0,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,PACER,
2530,"83rd & Union Hills, LLC",plea,Immigration,,Arizona,United States,No,USA v. Danny's Management Services LLC et al,2:13-cr-01143,512,2014-11-24,2014-11-21,2014-11-20,,No,0,0,50,0,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,PACER,
2531,"84th & Bell, LLC",plea,Immigration,,Arizona,United States,No,USA v. Danny's Management Services LLC et al,2:13-cr-01143,509,2014-11-24,2014-11-21,2014-11-20,,No,0,0,50,0,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,PACER,
