name,tel,url,addr1,addr2,city,zip,longitude,latitude
O'reilly William & Co Ltd,(212) 396-1822,http://www.nyc.com/arts__attractions/oreilly_william__co_ltd.806/whats_nearby.aspx,52 E 76th St,,New York,10021,-73.96273075,40.77380087
Organization of Independent Artists - Gallery 402,(212) 219-9213,http://www.nonprofitgallery.com/main/usa/ny/oia.html,19 Hudson St.,,New York,10013,-74.00938579,40.71646851
Owen Gallery,(212) 879-2415,http://www.owengallery.com/about-us,19 E 75th St,,New York,10021,-73.96435178,40.77400085
P P O W Gallerie,(212) 647-1044,http://www.ppowgallery.com/,511 W 25th St,,New York,10001,-74.00389261,40.7495854
P P O W Inc,(212) 941-8642,http://www.nyc.com/arts__attractions/p_p_o_w_inc.260/whats_nearby.aspx,476 Broome St,,New York,10013,-74.0017639,40.72290743
P S 122 Gallery,(212) 228-4249,http://ps122gallery.org/,150 1st Ave,,New York,10009,-73.98437148,40.72816774
Pace Editions,(212) 645-9806,http://www.ziplocal.com/companies/103327232-Pace-Editions,44 W 18th St,,New York,10011,-73.99437671,40.73920195
Pace MacGill Gallery,(212) 759-7999,http://www.pacemacgill.com/exhibitions.html,32 E. 57th St.,9th Fl.,New York,10022,-73.97202175,40.76194965
Pace Prints & Primitive Gallery,(212) 421-3237,http://www.paceprints.com/,32 E. 57th St.,3rd Fl.,New York,10022,-73.97211462,40.76183647
Pace Wildenstein,(212) 929-7000,http://www.pacewildenstein.com/,534 W 25th St,,New York,10001,-74.00495118,40.74944828
Pace Wildenstein,(212) 421-3292,http://www.pacewildenstein.com/uploads/exhibitions/keith%20tyson_with%20images_new.pdf,32 E 57th St,Fl 4,New York,10022,-73.97207692,40.76188607
Paige's Art Gallery,(212) 531-1577,http://www.nyc.com/arts__attractions/paiges_art_gallery.1731/editorial_review.aspx,3163 Broadway,,New York,10027,-73.95927393,40.8150007
PaineWebber Gallery,(212) 713-2885,http://www.tfaoi.com/aa/1aa/1aa458.htm,1285 Sixth Ave.,,New York,10019,-73.98058387,40.76118894
Paint Can Studios,(718) 937-7360,http://ny.serviceslisted.com/1655944-PaintCanStudios.htm,3608 34th St,,Astoria,11106,-73.92794008,40.75515787
Paley Barbara K,(212) 333-4747,http://www.nyc.com/arts__attractions/paley_barbara_k.796/map_location.aspx,1776 Broadway,,New York,10019,-73.98148007,40.76637002
Pall William Inc,(212) 758-3340,http://local.botw.org/New_York/New_York/Pall_William_Inc/56447150.html,188 E 64th St,,New York,10021,-73.96481234,40.76450874
Palmer Meredith Gallery,(212) 828-9100,http://www.artinfo.com/galleryguide/12649/1149/meredith-palmer-gallery-ltd/visit/,40 E 94th St,,New York,10128,-73.95482249,40.78563342
Pandora Old Masters,(212) 628-1974,http://www.salondudessin.com/an/anpandora.html,212 E 70th St,,New York,10021,-73.96081641,40.76789235
Pardo Sheenan Galleries Ltd,(646) 935-0837,http://web2.userinstinct.com/30816848-pardo-sheenan-galleries-ltd.htm,121 E 31st St,,New York,10016,-73.98156102,40.7448961
