StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      110,      00,   189501,   3.32,  26.69,   1.47,   1.47,   4.42,   1.47,      6,   1017,   1.79, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,  16.52,  36.86,
      110,      00,   189502,   1.41,   26.6,   -.45,    .87,  -1.35,    .07,      1,    974,  -1.69,    .52, -99.99, -99.99, -99.99, -99.99, -99.99,  15.57,  37.65,
      110,      00,   189503,   1.99,  39.97,   -.83,   -.83,  -1.28,   -.83,     13,    692,  -1.09,  -2.11,   -.16, -99.99, -99.99, -99.99, -99.99,  27.86,  52.07,
      110,      00,   189504,   1.99,   52.9,  -1.42,  -1.42,  -2.02,  -1.42,     27,    345,  -1.24,  -1.62,  -2.86, -99.99, -99.99, -99.99, -99.99,  39.45,  66.33,
      110,      00,   189505,   2.88,  59.94,    .04,  -1.23,    .12,  -1.08,     88,    155,   -.03,   -.78,  -1.15, -99.99, -99.99, -99.99, -99.99,  47.05,  72.81,
      110,      00,   189506,   2.95,   67.8,     .2,   -.94,    .51,   -.43,    225,     34,   -.03,   -.06,   -.59,   -.58, -99.99, -99.99, -99.99,  54.72,  80.89,
      110,      00,   189507,      3,  71.24,    .78,    .78,   1.78,    .78,    256,     19,    .56,    .27,    .13,  -1.09, -99.99, -99.99, -99.99,  58.55,  83.91,
      110,      00,   189508,   2.53,  71.62,    .95,    .95,    .74,    .95,    282,     17,   -.21,    .15,     .1,   -.75, -99.99, -99.99, -99.99,  58.32,   84.9,
      110,      00,   189509,   1.58,  65.57,   -.89,   -.89,  -2.68,   -.89,    190,     59,  -1.94,  -1.65,  -1.04,  -1.02,   -.95, -99.99, -99.99,  52.38,  78.73,
      110,      00,   189510,   1.08,  50.85,  -1.42,  -1.42,  -1.86,  -1.42,     31,    388,  -2.02,  -2.42,  -2.23,  -1.34,  -1.89, -99.99, -99.99,  37.15,  64.54,
      110,      00,   189511,   2.29,  39.16,    .05,  -1.23,    .14,  -1.07,      9,    599,     .1,  -1.23,  -1.78,  -1.22,  -1.44, -99.99, -99.99,  28.24,  50.09,
      110,      00,   189512,   2.53,  31.71,     .1,  -1.05,    .17,   -.71,      3,    843,    .28,    .27,    -.8,  -1.11,  -1.12,  -1.11, -99.99,  21.33,  42.08,
      110,      00,   189601,    2.4,  31.48,    .28,   -.74,    .59,   -.02,      4,    916,    .26,    .35,    .34,  -1.13,   -.82,   -1.4, -99.99,  21.52,  41.41,
      110,      00,   189602,   2.05,  35.04,    .32,    -.6,    .18,    .23,      4,    749,   -.11,    .11,    .27,  -1.18,   -.91,  -1.18, -99.99,  23.52,  46.56,
      110,      00,   189603,   2.41,  38.03,    .45,    .45,    .51,    .45,     10,    736,   -.13,   -.15,    .01,   -.64,   -.95,  -1.01, -99.99,  26.62,  49.42,
      110,      00,   189604,   2.59,  52.34,   -.02,   -.02,   -.07,    .38,     44,    307,    .18,    .05,    .01,    .25,  -1.05,   -.78, -99.99,  40.32,  64.38,
      110,      00,   189605,   2.96,  62.46,   -.25,   -.25,   -.67,   -.25,    161,    116,    .13,     .2,    .06,    .16,   -.93,   -.75, -99.99,  50.14,  74.77,
      110,      00,   189606,   2.64,  69.89,   -.59,   -.59,  -1.11,   -.59,    220,     37,    -.7,   -.37,   -.21,   -.21,   -.62,   -.87, -99.99,  56.52,  83.26,
      110,      00,   189607,   3.22,  73.69,   -.28,   -.28,    .74,   -.28,    319,      7,   1.18,    .13,    .12,   -.01,    .16,   -.78, -99.99,  61.34,     86,
      110,      00,   189608,      2,  72.27,   -.94,   -.94,  -2.06,   -.94,    299,     15,  -1.83,   -.42,   -.68,   -.43,   -.22,     -1, -99.99,  59.13,  85.39,
      110,      00,   189609,   2.78,  62.94,    .46,    .46,   1.38,    .46,    136,    103,    .66,   -.52,    .14,   -.11,   -.13,   -.52, -99.99,  50.59,  75.27,
      110,      00,   189610,   2.15,  51.91,    .63,    .63,    .67,    .63,     38,    346,   -.06,    .28,   -.43,    -.2,   -.24,   -.03, -99.99,  39.69,  64.11,
      110,      00,   189611,   3.07,  38.32,    1.5,    1.5,   2.81,    1.5,     19,    557,   1.38,    .88,    .97,    .32,    .24,    .31, -99.99,  28.17,  48.47,
      110,      00,   189612,    1.5,  35.55,   1.11,   1.11,   -.73,    .64,      4,    819,  -1.58,   -.01,   -.08,   -.04,   -.14,   -.16,   -.77,  25.32,  45.79,
      110,      00,   189701,   2.39,  28.17,   1.25,   1.25,    .78,   1.12,      3,    987,    .24,   -.95,     .1,   -.22,    -.1,   -.15,   -.98,  18.66,  37.65,
      110,      00,   189702,   2.79,  33.39,   1.96,   1.96,    2.5,   1.96,      9,    749,    1.5,   1.14,   -.08,    .65,     .2,    .15,   -.59,  23.49,  43.29,
      110,      00,   189703,   3.62,  38.79,   3.11,   3.11,   4.05,   3.11,     28,    646,   2.09,   2.28,   2.04,    1.2,   1.02,    .71,   -.15,  28.27,  49.32,
      110,      00,   189704,   2.42,  51.15,   -.06,   2.73,   -.17,    2.6,     29,    356,    -.2,   1.31,   1.71,   1.19,    .75,    .67,   -.03,  38.88,  63.43,
      110,      00,   189705,   2.12,  61.18,   -.89,   1.61,  -2.52,     .4,     82,    171,  -1.75,  -1.32,    .26,    .09,    .62,    .27,   -.27,  47.71,  74.61,
      110,      00,   189706,   2.88,  68.11,   -.84,   1.41,   -.11,    .16,    205,     55,   -.18,  -1.15,  -1.01,    .67,     .4,    .37,   -.29,  55.31,  80.91,
      110,      00,   189707,   2.93,  73.36,   -.74,   1.27,    .02,    .04,    333,     10,    .36,    .06,    -.8,    .63,     .5,    .22,   -.33,   60.3,  86.41,
      110,      00,   189708,    2.3,  71.35,   -.98,    .83,   -.93,   -.69,    262,     22,   -.88,    -.4,   -.37,   -.12,   -.14,    .37,   -.39,  58.19,  84.49,
      110,      00,   189709,   1.57,   66.4,  -1.95,  -1.95,  -3.22,  -1.95,    161,     63,  -1.97,  -2.06,  -1.46,  -1.51,   -.15,   -.18,   -.42,  52.77,  80.02,
      110,      00,   189710,   1.83,  55.11,  -2.13,  -2.13,  -1.16,  -2.13,     56,    253,   -.62,  -1.56,  -1.72,  -1.58,   -.43,    -.3,   -.22,  42.51,  67.68,
      110,      00,   189711,   2.29,  40.91,   -2.1,   -2.1,   -.57,   -2.1,     13,    579,     .1,   -.34,  -1.11,  -1.01,   -.69,   -.66,    -.2,  29.48,  52.32,
      110,      00,   189712,   2.56,  30.76,  -2.06,  -2.06,   -.52,  -2.06,      5,    874,    .33,     .3,   -.12,   -.82,  -1.09,   -.19,   -.13,  20.88,  40.62,
      110,      00,   189801,   2.43,  30.67,  -1.88,  -1.88,   -.11,  -1.86,      9,    886,    .32,    .43,     .4,   -.79,   -.98,   -.16,    -.1,  20.57,  40.77,
