StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   189501,   9.25,   40.5,   2.23,   2.23,    6.7,   2.23,      0,    654,   1.62, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   33.6,   47.4,
       04,      00,   189502,   2.56,     46,   1.72,   1.72,   -.86,   1.27,      0,    463,   -.35,   1.05, -99.99, -99.99, -99.99, -99.99, -99.99,     36,   56.1,
       04,      00,   189503,   2.52,   47.8,   1.35,   1.35,   -.56,     .6,      0,    499,   -.14,   -.44,    .79, -99.99, -99.99, -99.99, -99.99,   37.5,   58.2,
       04,      00,   189504,   1.25,   53.7,   1.03,   1.03,   -.55,    .02,      3,    353,   -.14,   -.25,   -.53, -99.99, -99.99, -99.99, -99.99,   41.8,   65.6,
       04,      00,   189505,   1.41,   61.3,   1.41,   1.41,   1.45,    .97,     33,    170,    .93,    .28,   -.01, -99.99, -99.99, -99.99, -99.99,   48.3,   74.3,
       04,      00,   189506,    .04,   68.6,   1.36,   1.36,     .3,    .98,     86,     64,  -1.28,    .49,    .04,    .72, -99.99, -99.99, -99.99,     53,   84.1,
       04,      00,   189507,    .14,   72.4,   1.23,   1.23,    .02,     .8,    144,     18,   -.12,  -1.18,    .44,   -.42, -99.99, -99.99, -99.99,   58.4,   86.4,
       04,      00,   189508,    .16,   72.3,    1.1,    1.1,   -.01,    .62,    148,     16,   -.22,   -.31,  -1.15,   -.17, -99.99, -99.99, -99.99,     58,   86.6,
       04,      00,   189509,    .92,   65.7,   1.56,   1.56,   1.71,   1.56,     80,     63,   1.25,      1,    .89,    .31,    .79, -99.99, -99.99,   51.9,   79.5,
       04,      00,   189510,    .49,     60,    -.5,     .9,  -1.49,    .05,     20,    161,    -.8,   -.15,   -.24,    -.1,    -.5, -99.99, -99.99,   47.2,   72.7,
       04,      00,   189511,   1.61,   48.2,   -.85,   -.85,   -1.2,   -.85,      0,    405,   -.42,   -.82,    -.5,   -.75,    -.6, -99.99, -99.99,   36.9,   59.5,
       04,      00,   189512,   2.53,     41,  -1.22,  -1.22,  -1.39,  -1.22,      0,    617,   -.42,   -.64,   -.86,   -.73,   -.72,    .22, -99.99,   31.2,   50.7,
       04,      00,   189601,   8.02,   45.5,   1.25,   1.25,   3.75,   1.25,      0,    508,   1.33,     .8,    .49,    .41,    .43,   -.03, -99.99,   37.1,   53.9,
       04,      00,   189602,     .6,   47.1,     -1,     -1,  -2.99,     -1,      0,    419,  -1.66,    .35,    .03,   -.24,   -.33,   -.42, -99.99,   34.8,   59.4,
       04,      00,   189603,   3.87,   49.7,    .29,    .29,    .86,    -.6,      1,    421,    .54,   -.67,    .44,   -.13,   -.05,   -.09, -99.99,   39.3,   60.2,
       04,      00,   189604,   4.28,     49,   1.75,   1.75,   4.47,   1.75,      1,    460,   1.85,    1.3,     .2,    .46,     .4,    .42, -99.99,   38.3,   59.6,
       04,      00,   189605,   1.93,   58.9,   2.52,   2.52,   2.87,   2.52,     23,    223,   1.46,   2.13,   1.53,    .79,    .57,    .51, -99.99,   46.5,   71.3,
       04,      00,   189606,    .08,   70.9,   2.93,   2.93,   1.99,   2.93,    132,     37,   -.99,   1.11,   1.99,   1.01,    .47,    .53, -99.99,   55.6,   86.1,
       04,      00,   189607,    .29,   75.8,   2.89,   2.89,     .8,   2.89,    214,      4,    .98,   -.36,   1.23,    .46,    .61,    .56, -99.99,   62.1,   89.6,
       04,      00,   189608,    .56,     73,   2.99,   2.99,   1.19,   2.99,    185,     10,   1.55,   1.59,    .54,   1.53,    .83,    .62, -99.99,   58.8,   87.2,
       04,      00,   189609,    .47,   66.4,   2.77,   2.77,    .26,   2.77,     72,     67,    .43,    .92,   1.04,    2.1,   1.09,    .55, -99.99,   53.1,   79.7,
       04,      00,   189610,    1.5,     60,   2.62,   2.62,    .41,   2.62,     21,    161,    .45,    .42,     .7,   1.33,    .56,    .69, -99.99,   47.1,   72.9,
       04,      00,   189611,   4.18,   47.7,      3,      3,   1.94,      3,      0,    439,   1.03,   1.01,   1.03,   1.09,   1.83,   1.08, -99.99,   38.4,     57,
       04,      00,   189612,   3.73,   45.6,    2.7,    2.7,    .03,   2.65,      0,    504,    .16,    .61,    .64,     .8,   1.57,   1.22,    .95,   36.8,   54.5,
       04,      00,   189701,   3.12,     42,   2.29,   2.29,   -.39,   2.02,      0,    614,   -.22,   -.13,    .23,    .37,    .55,     .5,    .21,   34.2,   49.8,
       04,      00,   189702,   5.89,   42.2,      3,      3,   2.83,      3,      0,    570,    .97,    .44,    .38,    .69,    .71,   1.37,     .6,   34.1,   50.4,
       04,      00,   189703,   4.46,   43.1,   3.48,   3.48,   2.37,   3.48,      0,    614,    .78,   1.07,    .63,    .83,    .91,   1.36,    .83,   33.8,   52.3,
       04,      00,   189704,    .62,     56,   -.59,   2.54,  -1.76,   1.78,     11,    279,   -.99,    .32,    .76,    .62,     .7,    .82,    .75,   42.5,   69.6,
       04,      00,   189705,    .35,   63.8,     -1,    1.8,  -1.42,    .45,     38,    155,   -.86,  -1.43,    .09,     .3,    .58,     .6,    .65,   50.2,   77.4,
       04,      00,   189706,    .58,     68,  -1.18,   1.34,   -.83,   -.31,     93,     60,    .94,   -.26,   -.98,    .36,    .62,     .7,    .74,   54.5,   81.5,
       04,      00,   189707,    .11,   73.9,  -1.35,     .9,    -.9,   -.99,    197,      8,   -.42,    .67,   -.39,    .68,    .59,    .67,    .74,   58.8,   89.1,
       04,      00,   189708,    .24,   74.8,   -1.3,    .72,   -.25,  -1.13,    237,      3,    .26,   -.06,    .54,    .17,    .36,    .63,    .76,     60,   89.5,
       04,      00,   189709,    .39,   67.2,   -1.2,    .61,   -.11,  -1.15,    100,     44,    .23,    .18,   -.02,  -1.01,    .36,    .61,     .7,   54.2,   80.3,
       04,      00,   189710,   1.94,   56.3,   -.53,    1.1,   1.66,    -.1,      2,    262,    .85,    .75,    .73,     .3,    .78,    .67,    .84,   45.6,   67.1,
       04,      00,   189711,   1.83,   48.6,   -.79,    .67,   -.96,   -.71,      0,    411,   -.26,    .15,    .14,    .23,    .07,    .28,    .88,   37.8,   59.4,
       04,      00,   189712,   2.42,   41.6,  -1.21,  -1.21,  -1.51,  -1.21,      0,    621,   -.48,    -.6,   -.33,   -.36,   -.74,    .06,    .85,   31.1,     52,
       04,      00,   189801,   1.34,   37.4,  -2.12,  -2.12,  -3.11,  -2.12,      0,    732,  -1.19,  -1.17,  -1.16,   -.94,  -1.01,   -.31,    .03,   28.3,   46.6,
       04,      00,   189802,   3.06,   47.2,  -2.33,  -2.33,  -1.28,  -2.33,      0,    440,   -.11,   -.93,  -1.11,   -.96,   -.91,   -.87,    .34,     37,   57.3,
       04,      00,   189803,    .94,   45.8,  -2.89,  -2.89,   -2.4,  -2.89,      0,    550,  -1.33,   -.86,   -1.4,  -1.35,   -1.4,  -1.64,    .01,   33.8,   57.7,
       04,      00,   189804,    .52,   56.9,  -3.28,  -3.28,  -2.07,  -3.28,     14,    261,  -1.18,  -2.06,  -1.21,  -1.79,  -1.55,   -1.6,   -.41,   43.3,   70.5,
       04,      00,   189805,   1.73,   58.6,  -2.41,  -2.41,   1.62,   -1.7,     14,    250,   1.26,   -.03,  -1.06,   -1.5,  -1.32,  -1.28,   -.43,   46.6,   70.6,
       04,      00,   189806,    .48,   68.7,     -2,     -2,    .47,  -1.06,     98,     55,    .67,   1.31,    .07,  -1.26,  -1.25,  -1.29,   -.36,   53.7,   83.7,
       04,      00,   189807,     .1,     74,  -1.81,  -1.81,   -.05,   -.87,    181,     12,   -.53,    .35,   1.24,    -.8,  -1.52,  -1.29,   -.38,   58.1,   89.9,
       04,      00,   189808,    .17,   74.9,  -1.71,  -1.71,   -.27,   -.85,    233,      4,   -.16,   -.48,    .08,  -1.01,  -1.52,  -1.32,   -.42,   59.9,   89.9,
       04,      00,   189809,    .63,   68.1,  -1.33,  -1.33,    .61,   -.25,    108,     43,    .77,    .53,    .32,    .12,  -1.26,  -1.25,   -.41,   53.8,   82.4,
       04,      00,   189810,     .7,     59,  -1.53,  -1.53,   -.99,   -.78,     21,    165,   -.48,   -.24,   -.31,    .48,   -.88,  -1.58,    -.5,   45.6,   72.4,
       04,      00,   189811,   1.41,   48.5,  -1.86,  -1.86,  -1.48,   -1.5,      0,    407,   -.57,   -.81,   -.68,   -.67,  -1.32,  -1.66,   -.85,   36.2,   60.8,
       04,      00,   189812,   1.39,   41.3,  -2.56,  -2.56,  -2.66,  -2.56,      0,    605,   -1.1,  -1.16,  -1.27,  -1.28,  -1.21,  -1.89,  -1.17,   31.1,   51.5,
       04,      00,   189901,   4.77,   43.9,  -2.35,  -2.35,   -.16,  -2.35,      0,    549,    .41,   -.34,   -.62,    -.7,   -.46,  -1.18,  -1.01,     35,   52.7,
       04,      00,   189902,    .81,   44.6,  -3.08,  -3.08,  -2.92,  -3.08,      0,    512,  -1.47,   -.51,  -1.06,  -1.28,  -1.27,  -1.64,  -1.54,   33.3,   55.9,
       04,      00,   189903,   5.45,   47.8,    .99,  -1.78,   2.96,   -.51,      0,    490,   1.15,   -.04,    .14,   -.64,   -.63,   -.64,  -1.44,   37.7,   57.9,
       04,      00,   189904,    .71,   54.7,    .39,  -2.08,  -1.47,  -1.39,      8,    317,   -.83,     .7,   -.32,   -.69,   -.75,   -.55,  -1.42,   41.6,   67.9,
       04,      00,   189905,    .99,   56.5,     .6,  -1.62,    .75,   -.61,      9,    292,     .4,   -.52,    .71,   -.46,   -.71,   -.71,  -1.38,   43.6,   69.5,
       04,      00,   189906,    .49,   68.5,    .86,  -1.14,    .95,    .23,     84,     70,    .69,    .52,   -.36,    .01,    -.7,   -.69,  -1.38,   53.4,   83.5,
       04,      00,   189907,    .06,     74,    .84,   -.95,    .22,    .45,    185,     10,  -1.03,    .26,    .38,   -.23,   -.63,   -.69,   -1.4,   57.1,   90.9,
       04,      00,   189908,    .22,   68.9,    .81,   -.79,    .16,    .58,    105,     35,    .15,   -.42,    .13,     .7,   -.43,   -.68,  -1.41,   54.3,   83.6,
       04,      00,   189909,    .13,   70.5,    .41,  -1.03,   -.95,      0,    148,     22,   -.77,   -.59,   -.93,    -.7,   -.06,   -.78,  -1.43,   53.7,   87.3,
       04,      00,   189910,   3.46,   55.8,    1.9,    1.9,   4.59,    1.9,      7,    241,   1.95,   1.75,   1.71,   1.74,    .27,   -.27,   -1.2,   44.3,   67.3,
       04,      00,   189911,   4.15,   50.8,   2.44,   2.44,    2.2,   2.44,      0,    352,   1.01,   1.72,   1.62,    1.6,   1.48,    .17,   -.93,   41.5,   60.1,
       04,      00,   189912,   3.57,   42.8,   2.29,   2.29,    .32,   2.29,      0,    554,    .09,    .56,   1.13,   1.03,    .79,    .53,    -.8,   33.9,   51.7,
       04,      00,   190001,   2.82,   45.6,   -.28,   1.77,   -.84,   1.34,      0,    496,   -.35,   -.27,    .12,    .54,    .55,    .19,   -.69,     37,   54.1,
       04,      00,   190002,   1.33,   46.9,   -.98,    .86,  -2.19,   -.58,      0,    432,  -1.07,  -1.03,   -.84,    .03,    .03,    .26,   -.83,   35.3,   58.5,
       04,      00,   190003,   2.27,   52.9,  -1.39,  -1.39,  -1.52,  -1.39,      5,    348,   -.29,  -1.04,  -1.04,   -.04,   -.11,   -.24,   -.68,   40.7,   65.2,
       04,      00,   190004,   2.11,   51.1,    .34,    -.9,   1.03,   -.25,      1,    417,    .61,    .03,   -.74,   -.35,    .01,    .03,   -.48,   39.7,   62.5,
       04,      00,   190005,   1.53,   61.9,     .9,     .9,   1.78,     .9,     35,    160,   1.06,    .91,    .28,   -.57,    .12,    .12,    -.5,   48.2,   75.5,
       04,      00,   190006,    .32,   69.8,   1.33,   1.33,   1.56,   1.33,    113,     45,    .14,    .95,    .86,   -.63,    .18,    .12,    -.5,     55,   84.6,
       04,      00,   190007,    .21,   74.3,    1.4,    1.4,    .63,    1.4,    189,      9,    .45,    .19,    .99,   -.47,    -.2,    .14,   -.48,   58.1,   90.4,
       04,      00,   190008,    .08,   69.9,   1.15,   1.15,   -.31,    .89,    115,     28,   -.88,   -.37,   -.31,    .23,   -.57,    .13,   -.49,   55.5,   84.3,
       04,      00,   190009,    .27,   63.8,    .97,    .97,   -.19,    .53,     41,    100,   -.13,   -.59,   -.47,    .68,   -.69,    .15,   -.54,   49.8,   77.8,
       04,      00,   190010,   2.51,   57.6,   1.74,   1.74,    2.6,   1.74,     15,    192,   1.31,   1.13,    .98,    1.4,   -.17,   -.04,   -.32,     46,   69.3,
       04,      00,   190011,   4.82,   51.9,   2.39,   2.39,    2.5,   2.39,      7,    284,   1.31,   1.62,   1.57,    1.5,   1.09,    .04,    .08,   41.4,   62.5,
       04,      00,   190012,   1.78,   44.2,   1.55,   1.55,  -1.78,    .71,      0,    521,   -.85,     .2,    .56,     .5,    .75,   -.28,    .11,   33.7,   54.6,
       04,      00,   190101,   5.33,   41.5,   1.99,   1.99,   1.78,   1.86,      0,    609,    .59,   -.06,    .44,    .64,    .75,    .13,    .11,   32.7,   50.4,
       04,      00,   190102,   5.36,   45.2,   2.47,   2.47,   2.08,   2.47,      0,    469,    .79,    .82,    .32,     .9,    .87,    .82,    .65,   36.4,     54,
       04,      00,   190103,   1.14,   49.7,   1.38,   1.38,  -2.52,    .23,      1,    417,  -1.13,    .04,    .31,    .53,     .5,    .64,    .17,   37.5,     62,
       04,      00,   190104,   2.29,   51.5,   1.65,   1.65,   1.24,   1.01,      2,    406,    .74,   -.42,    .21,    .43,    .57,    .65,    .35,   38.3,   64.8,
       04,      00,   190105,   1.11,   59.9,   1.84,   1.84,   1.06,   1.57,     18,    226,    .56,    .77,    -.3,     .1,    .62,     .6,    .38,   47.9,   71.8,
       04,      00,   190106,    .04,   67.4,   1.91,   1.91,    .78,   1.89,     81,     72,  -1.28,    .08,    .55,    .41,    .61,    .58,    .36,   51.9,   82.9,
       04,      00,   190107,    .02,   74.7,   1.82,   1.82,    .32,   1.82,    210,      5,  -1.74,  -1.88,   -.16,    .18,    .41,    .55,    .36,   58.8,   90.5,
       04,      00,   190108,    .32,   74.8,   1.72,   1.72,    .27,   1.72,    231,      3,    .65,   -.11,  -1.01,   -.45,    .06,    .59,    .38,   59.7,   89.8,
       04,      00,   190109,   1.09,   65.1,   2.28,   2.28,   2.21,   2.28,     49,     91,   1.49,   1.47,   1.21,    .87,    .53,     .7,    .48,   50.7,   79.5,
       04,      00,   190110,    1.5,   60.9,   2.15,   2.15,     .3,   2.15,     25,    146,    .45,    .97,   1.02,    .71,     .4,    .55,    .24,   47.9,     74,
       04,      00,   190111,   2.57,     52,   -.14,   1.79,   -.41,   1.54,      0,    331,    .21,     .3,    .61,    .44,   -.07,    .16,    .07,   40.7,   63.3,
       04,      00,   190112,   1.67,   44.2,   -.92,     .8,   -2.4,   -.58,      0,    527,   -.92,   -.61,   -.48,   -.28,   -.08,    .14,   -.17,     32,   56.5,
       04,      00,   190201,   1.29,   41.5,  -2.02,  -2.02,  -3.57,  -2.02,      0,    605,  -1.23,  -1.51,  -1.18,   -.87,   -.91,   -.66,   -.43,   30.9,     52,
       04,      00,   190202,   7.89,   46.1,   1.18,   -.64,   3.53,   1.06,      0,    482,   1.56,    .48,   -.04,    .14,    .06,   -.18,    .37,   36.6,   55.6,
       04,      00,   190203,    3.2,   45.6,   1.23,   1.23,    .54,   1.23,      0,    556,    .22,   1.24,    .42,    .06,    .17,    .25,    .48,   34.8,   56.4,
       04,      00,   190204,   2.11,   52.5,    1.4,    1.4,    .87,    1.4,      2,    376,    .61,    .41,   1.26,     .1,    .27,    .22,    .48,   40.3,   64.6,
       04,      00,   190205,    .94,   58.2,   1.53,   1.53,    .84,   1.53,     14,    260,    .32,    .55,     .4,    .12,    .27,     .2,    .44,   44.9,   71.6,
       04,      00,   190206,    .08,   69.1,   1.71,   1.71,   1.02,   1.71,     96,     59,   -.99,   -.12,    .35,    .46,    .13,    .23,    .44,   53.2,   85.1,
       04,      00,   190207,    .19,   72.4,   1.68,   1.68,    .41,   1.68,    156,     15,     .3,   -.76,    -.1,   1.19,    .09,    .26,    .44,     57,   87.9,
       04,      00,   190208,    .12,     72,   1.49,   1.49,   -.03,   1.41,    143,     17,   -.52,   -.26,   -.98,    .27,    .08,    .23,    .45,     57,   86.9,
       04,      00,   190209,    .05,     69,    .96,    .96,  -1.13,    .23,    118,     31,  -1.57,  -1.45,  -1.11,    .02,    .38,    .06,    .42,   53.6,   84.5,
       04,      00,   190210,   1.75,   58.1,   1.23,   1.23,   1.11,    .99,     11,    211,    .69,    .25,    .13,   -.13,   1.14,    .08,    .32,   45.2,   71.1,
       04,      00,   190211,   3.97,   47.2,   1.68,   1.68,   1.73,   1.68,      0,    462,    .93,   1.02,    .88,    .71,    .63,    .28,    .23,   37.7,   56.8,
       04,      00,   190212,   3.23,   42.3,   1.41,   1.41,   -.28,    1.2,      0,    590,   -.07,    .39,    .51,    .39,    .44,    .53,    .39,   32.9,   51.7,
       04,      00,   190301,   4.84,     42,   1.73,   1.73,   1.39,   1.73,      0,    581,    .43,     .2,    .46,    .46,     .4,   1.14,    .28,   32.3,   51.7,
       04,      00,   190302,   1.71,   38.4,   1.14,   1.14,  -1.24,    .46,      0,    645,   -.83,    -.2,   -.29,    .04,   -.03,    .05,   -.13,   27.8,   48.9,
       04,      00,   190303,   5.23,   46.8,   2.01,   2.01,   2.95,   2.01,      0,    523,   1.08,    .17,     .3,     .5,    .43,    .45,    .34,   36.9,   56.7,
       04,      00,   190304,   1.06,   51.6,   -.19,   1.61,   -.58,   1.27,      2,    383,   -.35,    .75,   -.01,    .32,    .32,    .28,    .21,   39.8,   63.4,
       04,      00,   190305,    .29,   60.6,   -.45,   1.16,   -.83,    .39,     20,    213,  -1.05,   -.91,    .52,   -.02,    .25,    .19,    .13,     47,   74.1,
       04,      00,   190306,    .21,   69.2,   -.53,    .92,   -.36,   -.04,     93,     61,    -.3,  -1.17,   -.97,    .04,     .3,    .23,    .18,   54.6,   83.8,
       04,      00,   190307,    .04,   71.1,    -.7,     .6,   -.69,   -.64,    130,     25,  -1.35,   -.85,  -1.62,   -.23,     .2,    .21,    .19,   55.1,   87.1,
       04,      00,   190308,    .09,   73.1,   -.76,   -.76,   -.38,   -.76,    181,     10,   -.78,  -1.66,  -1.15,    .37,   -.07,    .21,    .17,   57.3,   88.9,
       04,      00,   190309,    .24,   66.9,   -.84,   -.84,   -.49,   -.84,     87,     50,   -.24,   -.67,  -1.07,  -1.45,   -.05,    .23,    .06,   52.4,   81.4,
       04,      00,   190310,     .5,   60.8,  -1.28,  -1.28,  -1.58,  -1.28,     28,    136,   -.79,   -.98,  -1.14,  -1.85,   -.54,      0,   -.06,     46,   75.6,
       04,      00,   190311,   5.02,   50.9,    .88,    .88,   2.65,    .88,      4,    333,   1.39,    .94,    .87,    .69,     .7,    .14,    .22,   40.5,   61.3,
       04,      00,   190312,    1.5,   43.1,   -.68,   -.68,  -2.04,   -.68,      0,    559,  -1.03,    .18,   -.07,    -.2,   -.59,   -.15,    .19,   31.6,   54.7,
       04,      00,   190401,   1.84,   41.6,  -1.36,  -1.36,  -2.24,  -1.36,      0,    623,   -.86,  -1.34,   -.42,   -.67,   -.88,    -.8,    .19,   30.2,   52.9,
       04,      00,   190402,   7.93,   45.3,    1.5,    1.5,    4.5,    1.5,      0,    483,   1.57,    .62,    .06,    .34,    .25,    .37,    .22,   35.9,   54.7,
       04,      00,   190403,   6.86,   47.6,   2.98,   2.98,    4.9,   2.98,      1,    485,   1.62,      2,   1.18,    .95,    .88,    .66,    .63,   38.7,   56.4,
       04,      00,   190404,   2.23,   53.6,   2.98,   2.98,    .91,   2.98,      3,    356,     .7,   1.54,      2,   1.11,    .94,    .81,    .64,   41.4,   65.7,
       04,      00,   190405,    .34,   62.9,    2.4,    2.4,   -.81,   2.01,     32,    172,   -.89,    .22,   1.37,    .71,    .88,    .82,     .6,   49.1,   76.6,
       04,      00,   190406,    .09,   69.2,      2,      2,   -.45,   1.37,    100,     54,   -.93,  -1.38,    .02,   1.09,    .88,    .83,    .63,   53.5,   84.8,
       04,      00,   190407,    .24,   72.8,   1.71,   1.71,   -.27,    .93,    155,     16,    .66,   -.51,  -1.21,    1.8,   1.01,    .85,    .64,   57.8,   87.7,
       04,      00,   190408,    .41,   74.5,   1.75,   1.75,    .66,   1.19,    231,      4,   1.02,   1.05,    .05,   1.33,    .73,     .9,    .68,   59.8,   89.2,
