StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       05,      00,   189501,   1.96,   21.6,   1.64,   1.64,   4.93,   1.64,      0,   1355,   1.59, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,    9.6,   33.6,
       05,      00,   189502,   1.71,   19.2,    2.8,    2.8,   3.96,    2.8,      0,   1302,   1.35,   1.96, -99.99, -99.99, -99.99, -99.99, -99.99,    5.2,   33.3,
       05,      00,   189503,   1.01,   31.7,   2.79,   2.79,    .85,   2.79,      0,   1043,   -.72,    .31,   1.15, -99.99, -99.99, -99.99, -99.99,   17.4,   46.1,
       05,      00,   189504,    .96,   44.5,   1.91,   1.91,  -1.77,   1.11,      0,    599,  -1.24,  -1.42,   -.57, -99.99, -99.99, -99.99, -99.99,   28.3,   60.8,
       05,      00,   189505,   2.64,   51.6,   2.25,   2.25,   1.59,   2.06,      1,    421,    .83,   -.06,   -.39, -99.99, -99.99, -99.99, -99.99,   36.7,   66.5,
       05,      00,   189506,   1.92,   58.5,   2.62,   2.62,   1.81,   2.62,     20,    215,     .7,    .96,    .22,    .71, -99.99, -99.99, -99.99,     43,     74,
       05,      00,   189507,   3.16,   63.3,   3.88,   3.88,    4.6,   3.88,     33,     94,    1.7,   1.48,   1.47,    .78, -99.99, -99.99, -99.99,   48.8,   77.7,
       05,      00,   189508,    1.7,   64.9,   3.92,   3.92,    1.3,   3.92,     56,     62,   -.47,    .81,    .94,    .25, -99.99, -99.99, -99.99,   49.8,     80,
       05,      00,   189509,    .58,   58.8,   3.02,   3.02,  -1.47,   2.39,     19,    211,  -1.32,  -1.25,   -.04,    .09,    .56, -99.99, -99.99,   41.8,   75.7,
       05,      00,   189510,   1.21,   45.1,    2.8,    2.8,    .26,   2.22,      0,    638,   -.03,   -.92,   -.99,    .43,    .08, -99.99, -99.99,     30,   60.3,
