StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       08,      00,   189501,   4.06,   57.6,    .49,    .49,   1.46,    .49,     80,    213,    .79, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   46.5,   68.7,
       08,      00,   189502,   3.77,   50.7,     .9,     .9,    1.4,     .9,     15,    336,    .47,    .76, -99.99, -99.99, -99.99, -99.99, -99.99,   39.3,   62.2,
       08,      00,   189503,   2.66,   63.6,    .48,    .48,   -.98,    .48,    108,     91,   -.38,   -.05,    .29, -99.99, -99.99, -99.99, -99.99,   52.1,   75.2,
       08,      00,   189504,   4.84,   67.9,   1.17,   1.17,    2.2,   1.17,    142,     21,   1.16,    .41,    .49, -99.99, -99.99, -99.99, -99.99,   56.8,   78.9,
       08,      00,   189505,   4.96,   74.8,   1.52,   1.52,    1.4,   1.52,    336,      0,     .7,   1.22,    .62, -99.99, -99.99, -99.99, -99.99,   64.6,   84.9,
       08,      00,   189506,   5.97,   79.4,   1.27,   1.27,   -.27,   1.05,    440,      0,   -.44,     .1,     .6,    .56, -99.99, -99.99, -99.99,     69,   89.7,
       08,      00,   189507,   7.42,   80.8,   1.28,   1.28,    .42,   1.19,    497,      0,    .06,   -.41,    .05,    .36, -99.99, -99.99, -99.99,   71.6,     90,
       08,      00,   189508,   7.27,     81,   1.34,   1.34,    .58,   1.34,    504,      0,    .12,    .09,   -.29,     .2, -99.99, -99.99, -99.99,   72.1,   89.8,
       08,      00,   189509,   3.95,   79.4,   -.86,   -.86,  -2.58,   -.86,    437,      0,  -1.25,    -.9,   -.68,   -.11,    .02, -99.99, -99.99,   70.4,   88.4,
       08,      00,   189510,    2.7,   70.4,     -1,     -1,    -.7,     -1,    240,     12,   -.48,  -1.38,  -1.15,   -.76,   -.33, -99.99, -99.99,   60.2,   80.6,
       08,      00,   189511,   2.74,   63.6,    .17,   -.73,     .5,   -.25,    119,     84,    .46,   -.21,  -1.04,   -.95,   -.36, -99.99, -99.99,   53.7,   73.5,
       08,      00,   189512,   1.65,   55.4,   -.19,   -.85,   -.57,   -.68,     41,    254,   -.69,   -.19,   -.57,  -1.04,   -.43,   -.23, -99.99,   43.9,   66.8,
       08,      00,   189601,   3.48,   54.1,    .38,    .38,   1.15,    .38,     38,    299,    .46,   -.11,     .1,   -.88,   -.73,   -.35, -99.99,   43.7,   64.5,
       08,      00,   189602,   3.63,   57.1,    .58,    .58,    .71,    .58,     43,    211,    .38,    .47,    .05,   -.72,   -.79,   -.34, -99.99,   45.8,   68.4,
       08,      00,   189603,    2.7,   62.1,   -.25,   -.25,   -.74,    .28,     89,    112,   -.36,   -.08,    .09,   -.24,   -.69,   -.29, -99.99,   50.7,   73.6,
       08,      00,   189604,    .85,   70.3,  -1.08,  -1.08,  -2.58,  -1.08,    186,      9,  -1.59,  -1.22,    -.8,   -.49,  -1.09,   -.94, -99.99,   57.7,     83,
       08,      00,   189605,   2.39,   76.7,   -1.8,   -1.8,  -2.48,   -1.8,    362,      0,   -.82,  -1.64,  -1.44,   -.93,  -1.29,  -1.31, -99.99,   64.9,   88.5,
       08,      00,   189606,  10.93,     80,   1.07,   1.07,   3.22,   1.07,    452,      0,   1.79,    .89,    .12,    .09,    -.2,   -.56, -99.99,     71,     89,
       08,      00,   189607,   7.27,   81.3,   1.04,   1.04,    .22,   1.04,    498,      0,   -.04,   1.53,    .75,   -.05,   -.05,    -.6, -99.99,   72.2,   90.4,
       08,      00,   189608,   5.26,   82.3,   -.65,   -.65,  -1.96,   -.65,    534,      0,  -1.33,   -.92,    .58,    -.6,   -.52,   -.93, -99.99,   72.7,   91.9,
       08,      00,   189609,   4.21,   79.1,  -1.38,  -1.38,  -2.39,  -1.38,    432,      0,  -1.08,  -1.77,  -1.44,   -.85,   -.69,   -.83, -99.99,   69.9,   88.3,
       08,      00,   189610,   3.33,   71.1,  -1.34,  -1.34,    -.3,  -1.34,    241,      8,    -.1,   -.98,  -1.63,    -.5,   -.88,   -.77, -99.99,   61.1,   81.1,
       08,      00,   189611,   3.89,   68.7,    .32,   -.88,    .96,   -.25,    215,     32,   1.23,    .59,   -.33,    .22,   -.67,    -.6, -99.99,   59.2,   78.3,
       08,      00,   189612,    2.4,   56.4,    .35,   -.72,     .2,    .07,     47,    231,   -.06,    .69,    .39,   -.85,   -.61,   -.49,   -.53,   45.9,   66.9,
       08,      00,   189701,   1.57,   53.8,    .02,   -.94,   -.88,   -.58,     37,    303,   -.86,   -.67,     .1,   -1.2,   -.51,   -.84,   -.82,   42.5,   65.1,
       08,      00,   189702,   6.59,   62.4,   1.12,   1.12,   3.31,   1.12,    111,    115,   1.96,    .89,    .61,    .16,    .47,   -.33,   -.47,     53,   71.8,
       08,      00,   189703,   3.25,   69.1,   -.42,    .58,  -1.27,   -.35,    213,     33,   -.05,   1.12,    .54,    .57,   -.26,   -.19,   -.39,     59,   79.3,
       08,      00,   189704,   4.25,     69,    .46,    .98,   1.37,    .85,    176,     14,    .84,    .41,   1.28,    .86,   -.06,     .3,   -.44,   57.8,   80.1,
       08,      00,   189705,   1.57,   73.3,   -.67,   -.67,     -2,   -.67,    276,      0,  -1.46,   -.42,   -.41,     .1,   -.13,    .14,   -.88,   61.3,   85.3,
       08,      00,   189706,   5.66,   81.9,   -1.2,   -1.2,  -1.79,   -1.2,    495,      0,   -.61,  -1.34,   -.73,   -.13,    .04,   -.63,   -.89,     71,   92.8,
       08,      00,   189707,   8.56,   81.5,    .16,   -.91,    .49,   -.51,    509,      0,    .78,   -.07,   -.78,    .41,    .32,   -.45,   -.81,   72.1,   90.9,
       08,      00,   189708,   7.94,     81,    .42,    .42,    .82,    .42,    502,      0,     .5,    .81,    .18,    -.2,    .12,   -.09,    -.7,   71.7,   90.2,
       08,      00,   189709,   9.24,     77,   1.48,   1.48,   3.32,   1.48,    381,      0,   1.22,   1.18,   1.25,    .46,    .64,    .68,   -.09,   68.2,   85.8,
       08,      00,   189710,   3.94,   71.9,   1.54,   1.54,    .62,   1.54,    251,      5,    .23,   1.05,   1.09,    .28,    .93,    .81,    .08,   62.4,   81.4,
       08,      00,   189711,   1.46,   65.3,   -.27,   1.11,    -.8,    .61,    143,     63,   -.61,   -.23,    .71,    .63,    .24,    .45,   -.08,   55.1,   75.4,
       08,      00,   189712,   2.97,     59,   -.01,   1.23,    .69,   1.02,     69,    180,    .34,   -.17,   -.07,      1,    .32,    .55,    .04,   48.1,   69.9,
       08,      00,   189801,    .95,   59.7,   -.72,   -.72,  -2.12,   -.72,     88,    189,  -1.42,    -.7,   -.87,     .3,    -.3,    .45,   -.25,   47.6,   71.7,
       08,      00,   189802,   1.68,   56.7,  -1.09,  -1.09,  -1.35,  -1.09,     42,    215,  -1.02,  -1.58,  -1.07,   -.23,    -.1,   -.31,   -.45,     44,   69.3,
       08,      00,   189803,   1.07,   67.2,  -1.99,  -1.99,  -3.03,  -1.99,    170,     50,  -1.54,   -1.7,  -1.94,  -1.38,   -.26,    -.6,   -.63,   55.4,     79,
       08,      00,   189804,   1.91,   67.4,  -2.16,  -2.16,  -1.13,  -2.16,    141,     24,   -.69,  -1.51,  -1.72,  -1.69,   -.69,     -1,   -.48,   54.7,   80.1,
       08,      00,   189805,   1.43,     76,  -3.05,  -3.05,  -3.31,  -3.05,    347,      0,  -1.58,  -1.59,  -1.97,     -2,   -1.2,     -1,   -.64,   63.4,   88.7,
       08,      00,   189806,      4,     81,  -4.01,  -4.01,  -3.84,  -4.01,    484,      0,  -1.61,  -2.18,  -2.14,  -2.74,  -2.27,  -1.28,  -1.42,   69.1,     93,
       08,      00,   189807,   9.57,   81.1,    .32,  -3.28,    .96,  -2.84,    502,      0,   1.38,   -.33,  -1.05,  -1.96,  -2.03,  -1.12,   -1.2,   71.5,   90.7,
       08,      00,   189808,  13.49,   80.4,   2.59,   -.63,   6.91,    2.5,    479,      0,   2.83,   2.86,   1.62,   -.15,    -.7,   -.31,   -.22,   72.3,   88.5,
       08,      00,   189809,   6.08,   79.8,   2.14,   -.75,   -.55,   1.93,    460,      0,   -.07,   1.82,   1.94,    .31,   -.78,   -.72,   -.01,   71.7,   87.8,
