StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       16,      00,   189501,   4.48,   47.6,   -.14,   -.14,   -.42,   -.14,     17,    517,   -.15, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   37.9,   57.3,
       16,      00,   189502,   3.43,   41.2,   -.34,   -.34,   -.66,   -.34,      0,    636,   -.56,   -.52, -99.99, -99.99, -99.99, -99.99, -99.99,   31.8,   50.6,
       16,      00,   189503,   5.23,   59.3,   -.26,   -.26,    .16,   -.26,     50,    199,    .26,   -.29,   -.34, -99.99, -99.99, -99.99, -99.99,   47.9,   70.6,
       16,      00,   189504,   2.41,   65.8,   -.76,   -.76,  -1.59,   -.76,     94,     54,  -1.04,   -.51,   -.78, -99.99, -99.99, -99.99, -99.99,     54,   77.6,
       16,      00,   189505,   5.22,   72.6,    .04,    .04,    .11,   -.64,    262,      3,    .23,   -.48,   -.27, -99.99, -99.99, -99.99, -99.99,   62.5,   82.7,
       16,      00,   189506,   7.13,   79.7,    .78,    .78,   2.24,    .78,    455,      0,   1.04,     .8,    .18,   -.08, -99.99, -99.99, -99.99,   70.2,   89.1,
       16,      00,   189507,   6.13,   81.6,   1.07,   1.07,   1.11,   1.07,    526,      0,    .35,    .99,    .83,    .08, -99.99, -99.99, -99.99,   72.1,   91.1,
       16,      00,   189508,   5.14,   81.1,   1.39,   1.39,   1.28,   1.39,    512,      0,    .35,    .39,    .94,    .33, -99.99, -99.99, -99.99,   71.7,   90.6,
       16,      00,   189509,   1.61,   79.6,   -.76,   -.76,  -2.27,   -.76,    453,      0,  -2.55,   -.75,   -.45,   -.15,   -.31, -99.99, -99.99,   68.5,   90.6,
       16,      00,   189510,   2.67,   63.2,   -.76,   -.76,   -.24,   -.76,     78,    101,   -.13,  -1.11,   -.77,    .05,    -.4, -99.99, -99.99,   49.1,   77.4,
