StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       21,      00,   189501,    .62,    -.6,    .15,    .15,    .45,    .15,      0,   1977,   -.13, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,  -11.2,     10,
       21,      00,   189502,    .42,    5.7,   -.02,   -.02,   -.05,    .12,      0,   1623,   -.78,   -.76, -99.99, -99.99, -99.99, -99.99, -99.99,   -6.6,   18.1,
       21,      00,   189503,    .33,   23.3,   -.56,   -.56,  -1.64,   -.56,      0,   1245,  -2.12,   -2.3,  -1.84, -99.99, -99.99, -99.99, -99.99,   10.6,   36.1,
       21,      00,   189504,   1.58,     48,  -1.25,  -1.25,  -2.24,  -1.25,      3,    507,   -.54,  -1.49,  -1.67, -99.99, -99.99, -99.99, -99.99,   34.5,   61.5,
       21,      00,   189505,   3.37,   55.2,    .12,     -1,    .35,    -.7,     23,    305,     .2,   -.17,   -.72, -99.99, -99.99, -99.99, -99.99,   42.1,   68.4,
       21,      00,   189506,   5.18,   62.9,    .82,    .82,   2.16,    .82,     76,    104,    .76,    .67,    .31,    -.3, -99.99, -99.99, -99.99,     51,   74.7,
       21,      00,   189507,   3.21,   66.2,    .88,    .88,    .42,    .88,    116,     56,   -.22,    .38,    .34,    -.4, -99.99, -99.99, -99.99,   53.3,   78.9,
       21,      00,   189508,   2.26,     65,   -.51,   -.51,  -1.54,   -.51,    100,     70,  -1.03,   -.89,   -.27,   -.67, -99.99, -99.99, -99.99,   51.7,   78.3,
       21,      00,   189509,   3.78,   58.7,      0,      0,   1.37,    .71,     32,    178,    .77,   -.07,   -.26,   -.01,   -.45, -99.99, -99.99,     46,   71.3,
       21,      00,   189510,    .34,   39.7,    -.5,    -.5,  -1.49,    -.5,      0,    775,  -2.02,   -.37,   -.95,   -.43,   -.87, -99.99, -99.99,     27,   52.5,
       21,      00,   189511,   1.27,   24.9,    -.5,    -.5,   -.15,    -.5,      0,   1151,    .17,  -1.28,   -.34,   -.51,   -.77, -99.99, -99.99,   15.6,   34.2,
       21,      00,   189512,    .31,   14.3,   -.84,   -.84,  -1.18,   -.84,      0,   1516,  -1.43,   -.51,  -1.57,   -1.1,   -.67,  -1.01, -99.99,    4.5,   24.1,
       21,      00,   189601,    .74,    8.4,   -.82,   -.82,   -.18,   -.82,      0,   1685,    .17,   -.87,   -.45,  -1.04,   -.54,   -.95, -99.99,   -2.1,   18.9,
       21,      00,   189602,    .47,   14.8,   -.85,   -.85,   -.36,   -.85,      0,   1366,   -.59,   -.41,  -1.17,    -.7,   -.75,   -.95, -99.99,      3,   26.6,
       21,      00,   189603,   1.86,   18.3,    .56,    .56,   1.69,    .56,      0,   1375,   1.09,     .6,    .43,  -1.12,   -.96,   -.57, -99.99,    6.4,   30.2,
       21,      00,   189604,   5.56,   41.9,   2.64,   2.64,   6.41,   2.64,      0,    655,   2.94,   3.09,   2.93,   1.98,    .49,    .55, -99.99,   31.5,   52.4,
       21,      00,   189605,   5.53,     59,   3.49,   3.49,   3.35,   3.49,     52,    210,   1.76,   3.05,   3.09,   2.67,   1.73,    1.3, -99.99,   47.7,   70.3,
       21,      00,   189606,   3.67,   65.1,    2.9,    2.9,   -.67,   2.58,     94,     83,   -.33,      1,   2.26,    2.3,   1.26,    .81, -99.99,   52.5,   77.6,
       21,      00,   189607,   2.17,   67.5,   2.04,   2.04,  -1.71,    .98,    135,     42,  -1.43,  -1.12,    .16,   1.63,   1.34,    .45, -99.99,   54.8,   80.1,
       21,      00,   189608,   2.43,   65.3,   1.18,   1.18,  -1.95,   -.63,    108,     64,   -.87,   -1.4,  -1.37,    1.2,    .87,     .5, -99.99,   51.9,   78.8,
       21,      00,   189609,   2.39,     53,    .91,    .91,   -.42,   -.96,      2,    344,   -.35,   -.87,   -1.4,    .74,    .82,    .14, -99.99,   41.1,   64.9,
