StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       44,      00,   189501,   5.38,   31.1,   1.04,   1.04,   3.12,   1.04,      0,   1046,   1.47, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   21.9,   40.4,
       44,      00,   189502,   1.55,   25.5,   -.59,   -.59,  -1.76,   -.59,      0,   1107,  -1.16,    .45, -99.99, -99.99, -99.99, -99.99, -99.99,     15,   35.9,
       44,      00,   189503,   3.45,   42.6,   -.56,   -.56,    -.1,   -.56,      0,    700,   -.13,   -.87,    .26, -99.99, -99.99, -99.99, -99.99,     32,   53.2,
       44,      00,   189504,   5.23,   53.2,     .9,     .9,   2.71,     .9,      0,    354,   1.47,    .83,    .11, -99.99, -99.99, -99.99, -99.99,   41.8,   64.5,
       44,      00,   189505,   4.05,   61.5,    .96,    .96,    .45,    .96,     36,    142,    .13,   1.05,    .71, -99.99, -99.99, -99.99, -99.99,   49.9,     73,
       44,      00,   189506,    3.6,   72.6,    .75,    .75,   -.34,    .75,    250,      2,    -.2,   -.09,    .67,    .56, -99.99, -99.99, -99.99,   60.2,     85,
       44,      00,   189507,   4.83,   72.2,    .96,    .96,    .87,    .96,    232,      4,    .28,    .02,    .05,   -.02, -99.99, -99.99, -99.99,   61.6,   82.8,
       44,      00,   189508,   2.67,   74.5,   -.59,   -.59,  -1.78,   -.59,    312,      0,   -.99,   -.55,    -.6,   -.04, -99.99, -99.99, -99.99,   62.9,   86.1,
       44,      00,   189509,    .89,   71.4,  -1.75,  -1.75,  -3.64,  -1.75,    209,     11,  -2.69,  -2.09,  -1.43,   -.57,   -.46, -99.99, -99.99,   58.8,   83.9,
       44,      00,   189510,   1.73,     51,  -2.18,  -2.18,  -1.83,  -2.18,      1,    432,   -.82,  -2.04,  -2.24,  -1.46,  -1.22, -99.99, -99.99,   37.2,   64.8,
       44,      00,   189511,   2.79,     46,  -2.47,  -2.47,  -1.55,  -2.47,      0,    572,    .06,   -.61,  -1.46,  -1.64,   -.93, -99.99, -99.99,   34.9,   57.2,
       44,      00,   189512,   2.59,   37.5,  -2.68,  -2.68,  -1.41,  -2.68,      0,    853,   -.45,   -.29,   -.79,  -1.68,   -.96,   -.83, -99.99,   27.6,   47.4,
       44,      00,   189601,   1.96,   33.4,  -2.93,  -2.93,  -1.56,  -2.93,      0,    982,  -1.08,  -1.03,   -.81,  -1.94,  -1.76,  -1.47, -99.99,   24.3,   42.5,
       44,      00,   189602,   4.55,   36.8,    .71,  -1.92,   2.12,   -.98,      0,    788,   1.19,    .23,   -.08,  -1.22,  -1.44,   -.91, -99.99,   26.6,     47,
       44,      00,   189603,   4.17,   40.1,   1.01,  -1.35,   1.12,    .05,      0,    782,    .39,      1,    .37,   -.33,  -1.26,   -.75, -99.99,   29.1,   51.2,
       44,      00,   189604,   2.05,   57.7,   -.77,  -1.98,   -2.3,  -1.46,      7,    244,  -1.19,   -.48,    .33,   -.28,  -1.54,  -1.34, -99.99,   46.2,   69.2,
       44,      00,   189605,   3.91,   69.1,   -1.1,  -2.19,  -1.24,  -2.06,    154,     35,    .03,    -.7,   -.39,   -.36,  -1.18,   -1.4, -99.99,   57.3,   80.8,
       44,      00,   189606,   5.05,   70.6,     .6,  -1.36,   1.79,   -.43,    186,      9,     .8,    .54,    -.1,    .11,   -.35,  -1.13, -99.99,   60.6,   80.6,
       44,      00,   189607,   6.55,   75.3,   1.44,   1.44,    2.7,   1.44,    335,      0,   1.51,    1.4,   1.14,   1.06,     .4,    -.8, -99.99,   65.5,   85.2,
       44,      00,   189608,   2.07,   74.3,    .62,    .62,  -2.01,   -.56,    301,      0,  -1.75,   -.04,    .34,   -.05,   -.13,   -.87, -99.99,   62.9,   85.7,
       44,      00,   189609,   5.79,   66.8,   1.34,   1.34,   2.37,   1.34,    105,     46,   1.11,     .1,    .69,    .43,    .46,    .05, -99.99,   55.5,   78.1,
       44,      00,   189610,    .92,   53.4,   -.57,    .64,   -1.7,   -.41,      4,    363,  -1.56,    .07,   -.74,    .24,    .28,   -.11, -99.99,   41.8,     65,
       44,      00,   189611,   3.99,   50.5,   -.26,    .82,    .75,    .17,      0,    429,     .8,   -.42,    .38,    .51,    .23,    .04, -99.99,   38.6,   62.5,
       44,      00,   189612,   1.08,   35.7,   -.96,   -.96,  -2.17,   -.96,      0,    910,   -1.9,   -.46,  -1.28,   -.34,   -.28,   -.19,   -.69,   25.4,     46,
       44,      00,   189701,   1.96,   31.6,  -1.31,  -1.31,  -1.34,  -1.31,      0,   1041,  -1.08,   -2.1,   -.96,  -1.19,    -.3,   -.21,  -1.15,   21.5,   41.6,
       44,      00,   189702,   6.28,   38.3,   1.47,   1.47,    4.4,   1.47,      0,    761,   2.23,   1.11,    .02,    .21,    .36,    .16,   -.53,   28.5,   48.1,
       44,      00,   189703,   4.11,   47.1,   1.38,   1.38,    .21,   1.38,      1,    560,    .35,   1.61,    .99,   -.17,    .17,    .13,   -.42,   36.8,   57.5,
       44,      00,   189704,   2.47,   53.7,   -.36,    .88,  -1.07,     .2,      0,    341,   -.75,   -.29,   1.14,    .21,   -.43,    .18,   -.79,   40.9,   66.5,
       44,      00,   189705,   4.73,   61.4,    .43,   1.22,   1.29,   1.17,     41,    143,     .6,    .01,    .12,    .04,    .25,    .34,   -.79,   49.2,   73.5,
       44,      00,   189706,   3.44,   71.3,   -.11,    .98,   -.34,    .65,    192,      7,   -.33,    .17,   -.25,    .48,   -.31,   -.02,   -.81,   59.9,   82.7,
       44,      00,   189707,   4.67,   75.7,   -.08,     .9,    .06,    .53,    339,      0,    .15,   -.14,    .18,    .88,     .2,   -.32,   -.84,   64.9,   86.6,
       44,      00,   189708,   2.75,   73.2,   -.63,   -.63,  -1.69,   -.63,    262,      2,   -.91,   -.59,   -.69,   -.48,   -.43,   -.14,   -.84,   61.8,   84.6,
       44,      00,   189709,    .92,     68,  -1.64,  -1.64,  -3.23,  -1.64,    128,     36,  -2.56,  -2.01,  -1.45,  -1.16,   -.53,  -1.03,   -.79,   54.4,   81.7,
       44,      00,   189710,      3,   58.3,  -1.89,  -1.89,  -1.23,  -1.89,     19,    239,    .04,  -1.22,   -1.6,   -.96,   -.29,   -.68,   -.61,   46.5,     70,
       44,      00,   189711,   2.87,   46.5,  -2.11,  -2.11,  -1.25,  -2.11,      0,    556,    .11,    .01,   -.92,  -1.27,     -1,   -.92,   -.61,   35.2,   57.9,
       44,      00,   189712,   3.51,   38.4,  -1.92,  -1.92,   -.07,  -1.88,      0,    825,    .28,    .21,    .09,  -1.06,   -.96,   -.45,   -.41,   29.7,   47.1,
       44,      00,   189801,   3.18,   37.9,  -1.74,  -1.74,   -.07,  -1.67,      0,    843,    .09,    .18,    .15,  -1.09,    -.8,   -.24,   -.28,   29.2,   46.7,
       44,      00,   189802,     .9,   35.2,   -2.5,   -2.5,   -2.8,   -2.5,      0,    834,  -1.83,  -1.32,   -.82,  -1.25,  -1.52,  -1.29,   -.77,   23.6,   46.8,
       44,      00,   189803,   4.03,   49.4,  -2.31,  -2.31,   -.21,  -2.31,      5,    491,     .3,   -.91,   -.78,   -.42,  -1.33,  -1.24,   -.76,   39.3,   59.6,
       44,      00,   189804,   3.41,   49.9,    .26,  -1.81,    .77,  -1.41,      0,    443,    .11,    .18,   -.75,   -.35,  -1.29,  -1.06,   -.59,   38.7,   61.1,
       44,      00,   189805,    5.6,   65.1,     .8,  -1.05,   1.72,    .15,     79,     84,   1.17,    .92,    .83,    .04,   -.56,   -.92,   -.44,   53.1,     77,
